12
GENE1 1.02117439113672663353e+01 9.93924809937558961792e+00 1.24545483628956858979e+01 1.15586332785752894381e+01 1.19044185599681693333e+01 8.94595137928443229214e+00 6.98003117048566945613e+00 8.82562376660445835341e+00 9.57811717400584683446e+00 1.14194514784409779651e+01 1.04499744278916004703e+01 8.59907512003969642933e+00 9.15242419279931596066e+00 1.01931950760852867433e+01 1.12975388952796649278e+01 9.59875474477196100054e+00 9.29782682470197840985e+00 1.00472454842694851607e+01 9.10643699130038619671e+00 8.76754828520415685489e+00 1.08072495190082289440e+01 9.59744308660653366871e+00 9.60635824164788232338e+00 8.66175506803850581150e+00 8.94492650530144572940e+00 
GENE2 1.21370697295186484865e+01 1.21391776293863866698e+01 1.06152852967613551272e+01 1.15046442480616235571e+01 1.47905756891549895471e+01 1.21897791849994714397e+01 1.20125962430620774057e+01 1.21647369166236885007e+01 7.67032407531895454866e+00 1.31574318279880948523e+01 1.22635623186161453191e+01 1.18807834286161231319e+01 1.35866959976855028458e+01 1.54027080137336831456e+01 1.15287767172866821852e+01 1.44306312804777583381e+01 1.60720314591861104248e+01 1.18899800677413534089e+01 1.18801833337403746071e+01 1.67161248467598397838e+01 1.11625592595730758205e+01 1.58715746461911137999e+01 1.57817056348717592584e+01 1.28861365899774256150e+01 1.29274201542910152085e+01 
GENE3 3.73452170615093450579e+01 3.52987215258217403857e+01 3.55818621650880260177e+01 3.69821135397653080190e+01 3.64521339849562338031e+01 3.59036402063567265941e+01 3.80766007743474119707e+01 3.62269025480018811436e+01 3.74402648523955363657e+01 3.22008595969262430003e+01 3.37494143261121166688e+01 3.46380819659378289543e+01 3.40449989111770463523e+01 3.32638085493684059202e+01 3.22617515741718463573e+01 3.70134723185824654479e+01 3.54404915369055402152e+01 3.74126879510807981433e+01 3.64116955103069415145e+01 3.44793278349327181331e+01 3.74331999480416328652e+01 3.42822019502010633119e+01 3.67128796842792084476e+01 3.43087057800056172141e+01 3.53004447984008109529e+01 
GENE4 2.22915665920230203767e+01 1.73195554984374027185e+01 3.17071798347649185246e+01 2.49968668765386183850e+01 2.46471125661707546328e+01 1.97630934941230833601e+01 1.15757582963524079389e+01 1.80422258459389226459e+01 1.87172367353299087256e+01 3.99553815791224842258e+00 1.18489311220782127521e+01 4.18383342328965923684e+00 9.33391374962639375212e+00 1.17343638935148497637e+01 1.07667773571496958596e+01 1.54430983058282027542e+01 1.26722542978913228495e+01 6.40564840934286827689e+00 9.57203445870318425648e+00 1.39783910899470686928e+01 1.98451860500563483924e+01 2.35915567421743084253e+01 1.54236083056403039393e+01 1.57796497702953555375e+01 2.11199117172013544064e+01 
GENE5 1.19891010814118370575e+01 1.05607112591261014245e+01 1.18700870037776695654e+01 1.44092064711431753210e+01 1.50383444021042222971e+01 1.18735801641800744477e+01 1.11728193612343886798e+01 1.01560355331813489954e+01 9.71269195100312998647e+00 1.04186172728162276258e+01 1.32781814711000354379e+01 9.35800870159934028436e+00 9.41960613934628199218e+00 1.05537339094861621902e+01 1.12898613441602737595e+01 1.48686447092938269776e+01 1.25458196973819955389e+01 1.26733186015157137660e+01 1.10930749015970260274e+01 1.46460932353337280887e+01 1.10875772986838914136e+01 1.45603412403553420518e+01 1.28105909196540466155e+01 1.07514225785247212741e+01 1.24909291122425081255e+01 
GENE6 1.74180451017274933179e+01 1.92875953644185962332e+01 2.02567361208963347963e+01 1.98229905556047718562e+01 1.77756956287814951168e+01 1.91670371113142863351e+01 1.74607732713267189695e+01 1.74492647629699320078e+01 1.93066171952598679695e+01 1.83963657251568157847e+01 1.74304750657380544965e+01 1.87612249475908576812e+01 1.74183634062423386979e+01 1.80845951142918686116e+01 1.89172695567277955320e+01 2.29152721407890069827e+01 1.83904549141596689310e+01 1.82336774437038862118e+01 2.17607997904978311965e+01 2.17303988515569770357e+01 1.94810274610801386075e+01 1.89439048064626334167e+01 1.87673500637694985471e+01 1.52881620831620779200e+01 1.69804532771392864277e+01 
GENE7 1.39821585729451758340e+01 1.39768543446370419048e+01 1.39642688647334889396e+01 1.39871389019387688535e+01 1.45741488796216867030e+01 1.44780750388137313678e+01 1.45161608781105169186e+01 1.45035094687764605226e+01 1.45176674605431834664e+01 1.52939925050753053881e+01 1.51017661718858740016e+01 1.53029048693565652428e+01 1.51138661603140089795e+01 1.52639887068680906168e+01 1.45496600887751537101e+01 1.45840030831650189214e+01 1.46469678656308825992e+01 1.45679523838602449359e+01 1.46057267854045527145e+01 1.46917932684725993653e+01 1.40364010394015110705e+01 1.39494053671818445395e+01 1.38443022153416475106e+01 1.40476829792060620150e+01 1.39352230043512648194e+01 
GENE8 1.69698516091918101267e+01 2.08428589930660841389e+01 1.57125352398331941117e+01 2.05129710362164132675e+01 1.88815222498532797601e+01 1.95816198799454745938e+01 2.31964079627759147684e+01 2.23669648418155802005e+01 1.96690908933813872750e+01 1.80395562842905583523e+01 1.59523116780076321675e+01 1.65701508547332032606e+01 1.76346442801275635759e+01 1.61887287503780754605e+01 2.10231024218017381600e+01 1.87933981009980364263e+01 1.81351038057311697571e+01 1.74684519946283565162e+01 1.96736900728018930806e+01 2.26229044517846418216e+01 2.07043382993468050302e+01 1.87560688931902674881e+01 1.98884371061152762650e+01 1.90050754147444855846e+01 1.86278615272829135563e+01 
GENE9 1.71513950854346255426e+01 1.82295178213840749493e+01 1.75031579878478886769e+01 1.70955472113940665224e+01 1.62390809557473012603e+01 1.38782562672447991048e+01 1.76726280147046495017e+01 1.79499380023439805143e+01 1.33700544305474426920e+01 1.53202951448224080622e+01 1.48206870475957543931e+01 1.75867978296444711361e+01 1.89865442822355525720e+01 1.83196166215765252616e+01 1.92559451712653029176e+01 1.62190786038931342716e+01 1.86468644342312437345e+01 1.92638877779929948986e+01 1.93825501778148101550e+01 1.74546566687747741753e+01 1.82039271896777030690e+01 1.97808901598600463956e+01 1.50682462166059352171e+01 2.09903379618613108448e+01 1.51723692244267613916e+01 
GENE10 8.81624888541513840323e+00 9.91768543801312141284e+00 7.16145859939892837076e+00 9.38914269324912531545e+00 6.00928498285369983023e+00 9.53359063449909172050e+00 8.75857096578747729154e+00 9.55581228350331457477e+00 8.96994085873130231334e+00 1.10479611573643357048e+01 9.81856732330395942654e+00 1.04058255993797548200e+01 1.15091325561525827936e+01 1.09430490860502303008e+01 1.15634110357089987531e+01 9.95207241418057186877e+00 1.07400882754753492776e+01 1.26463661295326428302e+01 6.97349769509871642015e+00 8.63101848285998940469e+00 7.81126730532516688754e+00 1.14845421709169706048e+01 9.17542417054093029094e+00 9.42588164736406852739e+00 8.88796096521226530740e+00 
